unique_id,date,day,month,year,home_province,home_town,gender,age,occupation,organization,incident_type,incident_province,incident_district,incident_town,incident_reason,suspected_attacker,investigation_result,notes_other_details,latitude,longitude
1,11/19/2001,19,11,2001,Foreigner,Unclear,Male,,Journalist,Reuters,Killed,Nangarhar,Unclear,Unclear,Unclear,Unknown,,,34.27,70.48
2,11/19/2001,19,11,2001,Afghan,Unclear,Male,,Journalist,Reuters,Killed,Nangarhar,Unclear,Unclear,Unclear,Unknown,,,34.27,70.48
3,11/19/2001,19,11,2001,Italy,Unclear,Female,,Journalist,Unclear,Killed,Nangarhar,Unclear,Unclear,Unclear,Unknown,,,34.27,70.48
4,11/19/2001,19,11,2001,Spain,Unclear,Female,,Journalist,Unclear,Killed,Nangarhar,Unclear,Unclear,Unclear,Unknown,,,34.27,70.48
5,11/27/2001,27,11,2001,Sweden,Unclear,Male,,Journalist,Freelance,Killed,Nangarhar,Unclear,Unclear,Unclear,Unknown,,,34.27,70.48
6,8/28/2002,28,8,2002,New Zealand,Unclear,Male,,Journalist,Freelance,Killed,Kabul,Unclear,Unclear,Unclear,Unknown,,,34.55,69.33
7,8/3/2004,3,8,2004,Kabul,Kabul,Male,,Journalist,Salam Watandar,Threatened,Kabul,Kabul,Kabul,Reporting,Unknown,,,34.55,69.33
8,5/4/2005,4,5,2005,Takhar,Taluqan,Male,,Journalist,Tkharestan FM,Threatened,Takhar,Taluqan City,Taluqan City,Reporting,Unknown,,,36.7,69.78
9,5/4/2005,4,5,2005,Jawzjan,Sheberghan,Male,,Journalist,Aina TV,Beaten,Jawzjan,Shberghan,Shberghan,Reporting,Unknown,,,36.83,65.85
10,4/18/2005,18,4,2005,Kabul,Kabul,Female,,TV Presenter,Tolo TV,Killed,Kabul,Kabul,Kabul,Woman on TV,Unknown,,,34.55,69.33
11,7/3/2005,3,7,2005,Kabul,Kabul,Male,,TV Presenter,Tolo TV,Beaten,Kabul,Kabul City,Kabul City,Seen on TV in new style,Government,,,34.55,69.33
12,7/3/2001,3,7,2001,Kabul,Kabul,Male,,Reporter,Aftab Weekly,Beaten,Kabul,Kabul City,Kabul City,Publishing an article,Unknown,,,34.55,69.33
13,7/3/2005,3,7,2005,Kabul,Kabul,Male,,Reporter,Pajhwok,Threatened,Kabul,Kabul,Kabul,Reporting,Government,,,34.55,69.33
14,7/5/2005,5,7,2005,Kabul,Kabul,Male,,Reporter,Pajhwok,Threatened,Kabul,Kabul City,Kabul City,Reporting,Government,,,34.55,69.33
15,7/13/2005,13,7,2005,Kabul,Kabul,Male,,Journalist,Chye dagh Weekly,Beaten,Kabul,Kabul City,Kabul City,Reporting,Government,,,34.55,69.33
16,9/8/2005,8,9,2005,Kabul,Kabul,Male,,Journalist,Sadaye afghan news agency,Beaten,Kabul,Kabul City,Kabul City,Reporting,Government,,,34.55,69.33
17,9/8/2005,8,9,2005,Kabul,Kabul,Male,,Journalist,Sadaye afghan news agency,Beaten,Kabul,Kabul City,Kabul City,Reporting,Government,,,34.55,69.33
18,9/14/2005,14,9,2005,Kabul,Kabul,Male,,Journalist,Bamiyan Weekly,Kidnapped,Nuristan,Waigal District,Waigal District,Reporting,un known armed men,,,35.42,70.79
19,7/14/2005,14,7,2005,Kabul,Kabul,Male,,Journalist,Aina TV,Beaten,Kabul,Kabul City,Kabul City,Reporting,Government,,,34.55,69.33
20,7/14/2005,14,7,2005,Kabul,Kabul,Male,,Journalist,Aina TV,Beaten,Kabul,Kabul City,Kabul City,Reporting,Government,,,34.55,69.33
